TIME, TEMP, HUMID, PRESSURE, CO2
17:19:56, 21.5713, 27.45708, 1010.99, 1038
17:20:06, 21.44579, 27.6173, 1010.98, 1017
17:20:16, 21.40307, 27.64477, 1010.94, 1007
17:20:26, 21.41642, 27.67224, 1010.92, 1050
17:20:36, 21.37637, 27.48455, 1010.94, 951
17:20:46, 21.34699, 27.43877, 1010.96, 905
17:20:56, 21.30427, 27.52117, 1010.97, 905
17:21:06, 21.37637, 27.51354, 1010.98, 1012
17:21:16, 21.40307, 27.3991, 1010.94, 905
17:21:26, 21.36034, 27.45403, 1010.97, 915
17:21:37, 21.40307, 27.52728, 1010.97, 987
17:21:47, 21.33364, 27.41131, 1010.95, 935
17:21:57, 21.31762, 27.50896, 1011.02, 915
17:22:07, 21.29092, 27.40673, 1011.00, 865
17:22:17, 21.30427, 27.63714, 1011.00, 954
17:22:27, 21.34699, 27.62341, 1010.97, 964
17:22:37, 21.34699, 27.68292, 1010.97, 1019
17:22:47, 21.26154, 27.67681, 1011.01, 868
17:22:57, 21.27757, 27.96063, 1010.95, 897
17:23:07, 21.37637, 28.09491, 1011.00, 1044
17:23:17, 21.50187, 27.96216, 1011.01, 1093
17:23:27, 21.62737, 27.9881, 1011.02, 1056
17:23:37, 21.68345, 27.92096, 1010.97, 1105
17:23:47, 21.68345, 27.75006, 1010.94, 1029
17:23:57, 21.6701, 27.73327, 1011.01, 1041
17:24:07, 21.6701, 27.93317, 1011.00, 1090
17:24:17, 21.6701, 27.9057, 1010.99, 1065
17:24:27, 21.6701, 27.9057, 1010.98, 1090
17:24:37, 21.65675, 27.9469, 1010.92, 1065
17:24:48, 21.65675, 27.87518, 1011.00, 1038
17:24:58, 21.6434, 27.85992, 1010.97, 995
17:25:08, 21.61402, 27.95758, 1010.98, 1017
17:25:18, 21.61402, 27.95758, 1010.97, 1038
17:25:28, 21.58732, 27.91486, 1010.93, 1007
17:25:38, 21.58732, 27.91486, 1010.99, 1007
17:25:48, 21.60067, 27.85687, 1011.01, 995
17:25:58, 21.62737, 27.85992, 1010.99, 995
17:26:08, 21.61402, 27.74548, 1011.04, 972
17:26:18, 21.58732, 27.8706, 1011.03, 961
17:26:28, 21.55795, 27.75464, 1011.05, 935
17:26:38, 21.43244, 27.75921, 1011.06, 905
17:26:48, 21.44579, 27.78821, 1011.04, 870
17:26:58, 21.36034, 27.85535, 1011.00, 902
17:27:08, 21.33364, 27.83704, 1011.04, 913
17:27:18, 21.40307, 27.84161, 1011.07, 920
17:27:28, 21.45915, 27.80499, 1011.08, 870
17:27:38, 21.36034, 27.62646, 1011.05, 830
17:27:48, 21.27757, 27.69055, 1011.05, 813
17:27:59, 21.30427, 27.76532, 1011.02, 772
17:28:09, 21.34699, 28.06287, 1011.11, 872
17:28:19, 21.43244, 28.04303, 1011.07, 885
17:28:29, 21.44579, 28.08576, 1011.04, 913
17:28:39, 21.50187, 28.24598, 1011.07, 972
17:28:49, 21.37637, 28.15289, 1011.09, 918
17:28:59, 21.27757, 28.08881, 1011.13, 907
17:29:09, 21.33364, 28.13611, 1011.10, 868
17:29:19, 21.37637, 28.25055, 1011.04, 907
17:29:29, 21.37637, 28.26734, 1011.10, 954
17:29:39, 21.37637, 28.10864, 1011.06, 961
17:29:49, 21.36034, 28.18036, 1011.11, 891
17:29:59, 21.40307, 28.31312, 1011.11, 923
17:30:09, 21.31762, 28.0766, 1011.10, 819
17:30:19, 21.41642, 28.22766, 1011.07, 891
17:30:29, 21.37637, 28.28107, 1011.15, 880
17:30:39, 21.31762, 28.02167, 1011.10, 902
17:30:49, 21.4725, 28.48707, 1011.08, 885
17:30:59, 21.52857, 28.4062, 1011.10, 918
17:31:10, 21.5713, 28.26734, 1011.09, 885
